company,brand,homepage,calling_plan,mobile_carrier,category,data_speed,data_category,data_unit,call,call_unit,unlimited_free,message,message_unit,data1,data2,pay,promo_pay,saled_pay1,saled_pay2,saled_pay3,sales_pay1,condition1,sales_pay2,condition2,sales_pay3,condition3,etc1,etc2,etc3,activation,update_date,create_date
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,The 착한 데이터 유심 11GB,LGU+,usim,LTE,11000,월,999999,분,N,999999,건,11000,소진시 日2GB 제공 후 3Mbps 속도로 계속 사용,33000,33000,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,데이터 걱정없는 유심 일5GB,LGU+,usim,LTE,5000,일,999999,분,N,999999,건,99999999,소진시 5Mbps 속도로 계속 사용,39850,39850,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,보편 유심 5GB 200분,LGU+,usim,LTE,5000,월,200,분,N,100,건,5000,,13840,13840,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,슬림 유심 2GB 200분,LGU+,usim,LTE,2000,월,200,분,N,150,건,2000,,7700,7700,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,CU 안심 유심 15GB 100분,LGU+,usim,LTE,15000,월,100,분,N,100,건,15000,소진시 3Mbps 속도로 계속 사용,25300,25300,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,The 착한 데이터 유심 1.3GB,LGU+,usim,LTE,1300,월,999999,분,N,999999,건,1300,,11990,11990,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,보편 안심 유심 3GB 200분,LGU+,usim,LTE,3000,월,200,분,N,100,건,3000,소진시 400Kbps 속도로 계속 사용,19900,19900,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,슬림 유심 1GB 50분,LGU+,usim,LTE,1000,월,50,분,N,0,건,1000,,4950,4950,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,보편 유심 3.5GB 150분,LGU+,usim,LTE,3500,월,150,분,N,100,건,3500,,11000,11000,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,데이터 걱정없는 유심 2.5GB,LGU+,usim,LTE,2500,월,999999,분,N,999999,건,2500,소진시 400Kbps 속도로 계속 사용,25100,25100,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,데이터 걱정없는 유심 3.5GB,LGU+,usim,LTE,3500,월,999999,분,N,999999,건,3500,소진시 1Mbps 속도로 계속 사용,25950,25950,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,데이터 걱정없는 유심 6.6GB,LGU+,usim,LTE,6600,월,999999,분,N,999999,건,6600,소진시 1Mbps 속도로 계속 사용,34270,34270,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,The 착한 데이터 유심 300MB,LGU+,usim,LTE,300,월,999999,분,N,999999,건,300,,11550,11550,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,The 착한 데이터 유심 3.6GB,LGU+,usim,LTE,3600,월,999999,분,N,999999,건,3600,,17600,17600,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,The 착한 데이터 유심 6.6GB,LGU+,usim,LTE,6600,월,999999,분,N,999999,건,6600,,29700,29700,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,슬림 유심 500MB 50분,LGU+,usim,LTE,500,월,50,분,N,50,건,500,,4070,4070,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,슬림 유심 1GB 100분,LGU+,usim,LTE,1000,월,100,분,N,50,건,1000,,5170,5170,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,슬림 유심 1.5GB 100분,LGU+,usim,LTE,1500,월,100,분,N,50,건,1500,,6600,6600,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,보편 유심 10GB 100분,LGU+,usim,LTE,10000,월,100,분,N,100,건,10000,,20900,20900,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,CU 유심 1.5GB 150분,LGU+,usim,LTE,1500,월,150,분,N,150,건,1500,,6930,6930,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,CU 유심 3GB 250분,LGU+,usim,LTE,3000,월,250,분,N,100,건,3000,,11800,11800,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,CU 유심 7GB 180분,LGU+,usim,LTE,7000,월,180,분,N,100,건,7000,,17900,17900,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,CU 유심 10GB 100분,LGU+,usim,LTE,10000,월,100,분,N,100,건,10000,,20900,20900,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,CU 유심 10GB 180분,LGU+,usim,LTE,10000,월,180,분,N,180,건,10000,,22900,22900,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,청소년 안심 유심 27,LGU+,usim,LTE,750,월,999999,분,N,999999,건,750,소진시 400Kbps 속도로 계속 사용,16500,16500,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,데이터 유심 10GB,LGU+,tablet,LTE,10000,월,0,분,N,0,건,10000,소진시 자동차단,10780,10780,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,데이터 유심 20GB,LGU+,tablet,LTE,20000,월,0,분,N,0,건,20000,소진시 자동차단,14080,14080,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,조건없는 USIM LTE 23,SKT,usim,LTE,1600,월,180,분,N,200,건,1600,,23100,23100,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,조건없는 USIM LTE 28,SKT,usim,LTE,2600,월,250,분,N,250,건,2600,,28600,28600,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,조건없는 USIM LTE 31,SKT,usim,LTE,5000,월,350,분,N,350,건,5000,,34100,34100,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,데이터 걱정없는 USIM 100GB,KT,usim,LTE,100000,월,999999,분,N,999999,건,100000,기본 데이터 소진 시 5Mbps 속도로 기본제공,49900,39780,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,데이터 걱정없는 USIM 3GB,KT,usim,LTE,3000,월,999999,분,N,999999,건,3000,기본 데이터 소진 시 1Mbps 속도로 기본제공,30900,25950,,,,,,,,,,,,,Y,,
